Company,Year,Price_Begin,Price_End,Capital_Gain_%
RAIADROGASIL,2023,22.384614944458008,29.399999618530273,31.340207064000168
RAIADROGASIL,2024,29.010000228881836,22.0,-24.164081949585114
REDE D'OR,2016,,,
REDE D'OR,2017,,,
REDE D'OR,2018,,,
REDE D'OR,2019,,,
REDE D'OR,2020,66.33441162109375,68.24281311035156,2.8769404033591486
REDE D'OR,2021,68.49259948730469,44.83000183105469,-34.547670599998085
REDE D'OR,2022,44.7599983215332,29.579999923706055,-33.914206807564454
REDE D'OR,2023,29.209999084472656,28.760000228881836,-1.5405644289459393
REDE D'OR,2024,28.110000610351562,25.420000076293945,-9.569549895587762
RUMO,2016,6.119999885559082,6.139999866485596,0.3267970800735825
RUMO,2017,6.139999866485596,12.970000267028809,111.23779395865947
RUMO,2018,12.970000267028809,17.0,31.07170123362219
RUMO,2019,16.709999084472656,26.100000381469727,56.19390671135639
RUMO,2020,26.31999969482422,19.239999771118164,-26.899696070658862
RUMO,2021,19.360000610351562,17.760000228881836,-8.264464519769826
RUMO,2022,17.899999618530273,18.610000610351562,3.9664860723588413
RUMO,2023,18.309999465942383,22.950000762939453,25.341351350816428
RUMO,2024,22.6200008392334,17.84000015258789,-21.131744072948074
SABESP,2016,18.549999237060547,28.790000915527344,55.20216765296988
SABESP,2017,28.450000762939453,34.33000183105469,20.667841512942417
